Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
server.py,653.0,59.309504052550544,65.18608388143788,126
discern-file-so,835.0,39.94565578888939,77.63453283756212,164
discern-proc-so,834.0,2.1778448249792652,2.4381311749104477,163
jbd2/vda2-8,847.0,1.394229157736537,3.0513411768270347,164
discern-network,608.0,0.7739894935617398,1.6426929022079721,117
kswapd0,403.0,0.6212650780776295,0.6619227163066417,79
systemd,20.0,0.9260804144518255,0.9483203520547852,4
python3,5.0,1.8787899679264126,1.8787899679264124,1
sshd,5.0,0.8027965452978499,0.8027965452978498,1
systemd-journal,5.0,0.6139888297843457,0.6139888297843457,1
