Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,1964.0,31.67818548068142,85.10887100410008,392
discern-proc-so,1988.0,2.2483033025137895,2.698708160156006,392
discern-network,2011.0,0.9853922035967958,1.3733409995903605,392
kswapd0,1658.0,0.6925245750162049,0.7372572251670928,323
jbd2/vda2-8,1274.0,0.7670024100864236,2.0371015427010875,247
systemd,239.0,0.8168534855790671,1.7728264719980522,46
systemd-journal,487.0,0.3957405835374327,0.4297933750758485,94
flooder,330.0,0.5711553450447834,0.6210021925241582,62
discern-logs-so,72.0,0.3674823509457744,0.36801211720703203,14
sshd,6.0,1.985455215892278,3.0296065910723335,2
