Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,306.0,86.64063814150033,93.21562034901599,59
discern-proc-so,2090.0,2.6743781461881615,6.353679379830572,410
discern-logs-so,2094.0,0.43223346529534823,0.46401380665630254,410
python3,1746.0,0.45639147708044403,32.16887771898126,339
systemd-journal,2073.0,0.2555258437136217,0.2604463958930718,406
discern-network,2056.0,0.25557172830432884,0.25964091084833446,402
systemd,31.0,1.2547004921028115,4.76624336732552,6
jbd2/vda2-8,49.0,0.19449622736736674,0.1978573851427617,10
sshd,10.0,0.6016919505102732,0.9300110290798447,2
kswapd0,31.0,0.1668309766881935,0.16714548508451488,6
