Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
server.py,1904.0,77.85799534278183,86.12103711149565,370
discern-file-so,468.0,52.99608102051734,80.12981756570485,88
discern-proc-so,2146.0,2.3023454154774425,2.6148699461074036,416
discern-network,2158.0,0.598719256527999,0.6445114277556228,416
discern-logs-so,1944.0,0.41889376753380136,0.48368815254791414,374
jbd2/vda2-8,1606.0,0.34118105452755604,0.4258608899758697,309
sshd,321.0,0.6304622414194299,1.4458989995593479,63
systemd-journal,217.0,0.23502145955439935,0.28099658883112705,43
python3,15.0,0.7983099954617651,0.9846436829718659,3
systemd,12.0,0.9784268154942098,1.5813732482511793,3
