Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,24.3624732252142,27.66015625,21.12890625,157,817.0
discern-ansible,1205.34375,1205.34375,11.28515625,1,5.0
discern-file-so,1522.6559895833334,1527.67578125,372.8984375,183,945.0
discern-jupyter,1205.33203125,1205.33203125,10.8046875,2,11.0
discern-logs-so,1205.4296875,1205.4296875,47.50390625,183,949.0
discern-network,1881.9453125,1881.9453125,95.8203125,183,945.0
discern-proc-so,1205.92578125,1205.92578125,15.984375,34,167.0
python3,60.938248005319146,232.35546875,16.3046875,18,94.0
server.py,171.75390625,235.75390625,21.7421875,146,766.0
systemd-journal,125.33203125,169.40234375,23.19140625,8,42.0
