timestamp,device,length,link_protocol,network_protocol,transport_protocol,src_ip,dst_ip,src_port,dst_port,malicious
1759283994,any,44,ARP,N/A,N/A,172.30.0.163,172.30.0.122,0,0,1
1759283994,any,58,ARP,N/A,N/A,172.30.0.122,172.30.0.163,0,0,1
1759283994,any,58,ARP,N/A,N/A,172.30.0.122,172.30.0.163,0,0,1
1759283994,any,112,N/A,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283994,eth1,110,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759283994,eth0,42,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283994,eth0,56,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283994,eth0,56,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283994,eth0,110,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283994,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759283994,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759283994,any,56,N/A,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759283994,eth0,70,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::204,0,0,1
1759283994,any,72,N/A,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::204,0,0,1
1759283994,eth1,70,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::204,0,0,1
1759283995,eth1,110,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759283995,any,112,N/A,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759283995,eth0,110,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283995,any,112,N/A,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283995,eth0,111,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283995,any,113,N/A,N/A,N/A,N/A,N/A,0,0,1
1759283996,eth0,111,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283996,any,113,N/A,N/A,N/A,N/A,N/A,0,0,1
1759283997,eth0,111,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283997,any,113,N/A,N/A,N/A,N/A,N/A,0,0,1
1759283998,eth0,111,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283998,any,72,N/A,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::204,0,0,1
1759283998,eth1,70,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::204,0,0,1
1759283999,eth0,70,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::204,0,0,1
1759283999,any,72,N/A,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::204,0,0,1
1759283999,eth0,90,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283999,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759283999,any,92,N/A,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283999,eth0,91,Ethernet,IPv6,UDP,fe80::183d:8eff:fe05:116,ff02::1:52,5355,5355,1
1759283999,eth0,71,Ethernet,IPv4,UDP,172.30.0.163,224.0.0.252,5355,5355,1
1759283999,any,93,N/A,IPv6,UDP,fe80::183d:8eff:fe05:116,ff02::1:52,5355,5355,1
1759283999,eth0,360,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759283999,any,362,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759283999,eth0,372,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759283999,any,374,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759283999,eth1,110,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759283999,any,112,N/A,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759283999,eth0,110,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283999,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759283999,any,112,N/A,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759283999,eth0,42,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283999,eth0,56,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283999,eth0,56,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759283999,any,44,ARP,N/A,N/A,172.30.0.163,172.30.0.122,0,0,1
1759283999,any,58,ARP,N/A,N/A,172.30.0.122,172.30.0.163,0,0,1
1759284000,eth1,110,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759284000,any,112,N/A,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759284000,eth0,110,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759284000,any,112,N/A,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759284000,eth0,111,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759284000,eth0,70,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::204,0,0,1
1759284000,any,72,N/A,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::204,0,0,1
1759284000,eth1,70,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::204,0,0,1
1759284000,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759284000,any,56,N/A,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759284001,eth0,90,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759284001,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759284001,any,92,N/A,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759284001,eth0,91,Ethernet,IPv6,UDP,fe80::183d:8eff:fe05:116,ff02::1:52,5355,5355,1
1759284001,eth0,71,Ethernet,IPv4,UDP,172.30.0.163,224.0.0.252,5355,5355,1
1759284001,any,93,N/A,IPv6,UDP,fe80::183d:8eff:fe05:116,ff02::1:52,5355,5355,1
1759284001,eth0,360,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759284001,any,362,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759284001,eth0,372,Ethernet,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759284001,any,112,N/A,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759284001,any,374,N/A,IPv4,UDP,0.0.0.0,255.255.255.255,68,67,1
1759284001,eth1,110,Ethernet,IPv6,ICMP,fe80::54ff:2fff:fe0f:199,ff02::179,0,0,1
1759284001,eth0,54,Ethernet,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759284001,eth0,110,Ethernet,IPv6,ICMP,fe80::183d:8eff:fe05:116,ff02::179,0,0,1
1759284001,any,56,N/A,IPv4,N/A,172.30.0.163,224.0.0.22,0,0,1
1759284001,any,44,ARP,N/A,N/A,172.30.0.163,172.30.0.122,0,0,1
1759284001,any,58,ARP,N/A,N/A,172.30.0.122,172.30.0.163,0,0,1
1759284001,any,58,ARP,N/A,N/A,172.30.0.122,172.30.0.163,0,0,1
1759284001,eth0,42,Ethernet,N/A,N/A,N/A,N/A,0,0,1
1759284001,eth0,56,Ethernet,N/A,N/A,N/A,N/A,0,0,1
