Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,28.111998348136915,32.6875,26.45703125,225,1154.0
discern-ansible,1205.34375,1205.34375,11.83203125,18,92.0
discern-cpu-sor,1205.359375,1205.359375,12.5390625,1,5.0
discern-file-so,1447.1633239233192,1591.1796875,292.86328125,45,238.0
discern-interfa,1507.5106693097016,1571.26953125,22.63671875,105,536.0
discern-logs-so,1205.4296875,1205.4296875,54.69921875,225,1146.0
discern-network,1906.21484375,1906.21484375,94.109375,225,1146.0
discern-proc-so,1205.92578125,1205.92578125,16.89453125,25,123.0
python3,176.32589285714286,248.61328125,31.75,83,427.0
server.py,171.75390625,235.75390625,19.78125,69,363.0
systemd-journal,144.7461009837963,167.34375,27.6484375,104,540.0
