Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,69.16796875,3,16.0
apt-get,62.63268649193548,155.3671875,67.3359375,6,31.0
cc1,231.41015625,231.41015625,215.4609375,1,5.0
containerd,1416.0891712454213,1513.890625,47.953125,104,546.0
discern-cpu-sor,1204.484375,1204.484375,12.25390625,15,81.0
discern-file-so,1716.19032564906,1720.625,454.66015625,213,1117.0
discern-logs-so,1206.9033410904256,1269.99609375,73.80859375,63,329.0
discern-network,2257.685436589253,2290.21484375,174.75390625,210,1098.0
discern-proc-so,1206.42578125,1206.42578125,20.66015625,29,153.0
docker,1268.1120295234807,1381.87890625,56.3828125,103,543.0
dockerd,1509.9806303607468,1631.125,120.1015625,190,991.0
dpkg,21.43359375,21.57421875,17.84375,2,10.0
exe,1336.0428185096155,1485.7109375,87.765625,10,52.0
pip,81.25465029761905,99.421875,94.86328125,4,21.0
pip3,62.265625,67.53125,62.8828125,2,10.0
python3,3164.6393816021127,3436.20703125,1284.6015625,69,355.0
systemd-journal,56.184011627906976,57.375,18.9921875,41,215.0
