Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,68.953125,3,16.0
apt-get,62.62823275862069,155.3671875,69.10546875,6,29.0
cc1,231.38671875,231.38671875,214.5546875,1,5.0
containerd,1377.8215432363013,1377.88671875,41.953125,56,292.0
discern-cpu-sor,1204.984375,1204.984375,13.88671875,16,84.0
discern-file-so,1681.0342023982557,1720.3125,424.07421875,198,1032.0
discern-jupyter,1204.70703125,1204.70703125,12.1015625,3,16.0
discern-logs-so,1234.8303060922713,1269.99609375,84.19140625,61,317.0
discern-network,2299.555974264706,2362.03125,185.890625,181,935.0
discern-proc-so,1206.48978125,1206.67578125,21.28515625,24,125.0
docker,1294.5938830919931,1381.94140625,55.99609375,112,587.0
dockerd,1519.0930578626799,1567.25,115.58203125,174,903.0
dpkg,21.27734375,21.4375,17.83203125,2,12.0
exe,1261.1498909883721,1341.953125,90.8046875,8,43.0
pip,73.81285511363636,98.8359375,94.2421875,4,22.0
pip3,62.265625,67.52734375,62.8671875,2,11.0
python3,3193.7653717269327,3489.58984375,1315.73046875,77,401.0
systemd-journal,86.80401785714285,129.28125,53.83984375,61,315.0
