Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
server.py,1976.0,77.66571439242404,85.61670935055054,378
discern-file-so,470.0,52.65945299271518,83.53854785873375,88
discern-proc-so,2093.0,2.369935293054158,2.626743053498755,401
discern-network,2092.0,0.5811115456002851,0.6020195935293379,400
discern-logs-so,2081.0,0.5462431360516473,0.6095559504769503,397
jbd2/vda2-8,1171.0,0.24654476890831592,0.2785082537605406,225
sshd,494.0,0.48243200052341434,1.751365173390371,94
systemd,20.0,1.5049721312542215,4.18130774221353,4
systemd-journal,98.0,0.22375601943437265,0.24134734713956846,20
python3,16.0,0.9870451206824539,1.2317312382589243,3
kswapd0,5.0,0.1779965582550719,0.1779965582550719,1
