Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,67.4453125,3,15.0
apt-get,62.3811677631579,155.3671875,67.35546875,7,38.0
cc1,215.94140625,215.94140625,200.76953125,1,5.0
containerd,1377.8370409149484,1377.88671875,47.58984375,94,485.0
discern-cpu-sor,1204.984375,1204.984375,14.18359375,9,43.0
discern-file-so,1652.2488405477031,1656.30859375,444.984375,217,1132.0
discern-logs-so,1205.9296875,1205.9296875,69.53125,66,341.0
discern-network,2337.528458813234,2362.21875,168.64453125,213,1107.0
discern-proc-so,1206.410443826687,1206.42578125,19.984375,32,163.0
docker,1292.2596192996743,1454.1953125,56.34375,116,614.0
dockerd,1531.6082725776105,1567.1875,112.90234375,203,1063.0
dpkg,21.46484375,21.65234375,17.984375,2,10.0
exe,1283.2072088068182,1476.95703125,91.73828125,12,66.0
pip,89.24188701923077,99.25,95.140625,5,26.0
pip3,62.265625,67.53125,62.91015625,2,10.0
python3,3174.755464948297,3450.109375,1289.80859375,78,411.0
systemd-journal,68.8161080629771,123.2734375,51.078125,25,131.0
