Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,68.70703125,1,5.0
apt-get,64.69921875,155.3671875,67.16015625,5,30.0
dbus-daemon,17.46875,18.8828125,12.75390625,70,363.0
discern-file-so,1577.011706081081,1591.7421875,302.875,182,925.0
discern-jupyter,1205.33203125,1205.33203125,9.92578125,1,6.0
discern-logs-so,1205.4296875,1205.4296875,26.29296875,173,894.0
discern-network,1866.4588175675676,1889.578125,103.51953125,182,925.0
discern-proc-so,1205.92578125,1205.92578125,17.23046875,127,654.0
dpkg,21.423828125,21.53125,17.5546875,2,10.0
pip3,111.30350654069767,295.4609375,287.328125,8,43.0
python3,581.3451254401408,856.29296875,456.64453125,57,284.0
python3.9,21.73046875,23.6953125,17.13671875,1,6.0
systemd-journal,64.84660979038854,101.26171875,28.70703125,95,489.0
systemd-resolve,23.53515625,23.59765625,11.7421875,6,27.0
