Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,945.0,37.7075864547789,68.33918430659544,183
python3,305.0,63.30980212372363,86.72429710442921,58
pip3,43.0,58.97109740350999,69.4521058759527,8
discern-proc-so,940.0,2.330840653021286,3.6154691335807967,181
jbd2/vda2-8,945.0,1.3951166272680353,2.4183652543686374,182
kswapd0,876.0,0.5818540365212174,0.6827585897649361,168
systemd,599.0,0.5280830045154925,1.0931695076569699,118
dpkg,10.0,11.306155043559665,12.458450979065391,2
apt-get,26.0,4.243785969796319,11.47269323643574,5
python3.9,6.0,10.47792245035659,10.47792245035659,1
apt,5.0,8.087027126291279,8.087027126291279,1
mandb,10.0,2.4195423578120065,2.5731666341419963,2
discern-network,11.0,0.4240535506198038,0.4326642627785759,2
