Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
containerd,1305.6328125,1369.3828125,32.234375,557,2881.0
dbus-daemon,41.27739103335626,55.5859375,48.55859375,707,3635.0
discern-file-so,1505.9581168137813,1591.4296875,371.13671875,83,439.0
discern-interfa,1435.515625,1435.515625,22.58984375,53,275.0
discern-logs-so,1205.4296875,1205.4296875,41.125,541,2810.0
discern-network,1890.578125,1890.578125,119.14453125,741,3801.0
dockerd,1350.86328125,1350.92578125,101.33203125,741,3781.0
python3,98.73246063931298,248.55078125,27.4921875,124,655.0
supervisord,29.1484375,29.1484375,23.69140625,1,5.0
systemd-journal,91.46319056076179,121.54296875,31.4296875,157,827.0
