Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,67.2109375,1,5.0
apt-get,64.30859375,155.3671875,67.34375,5,27.0
dbus-daemon,17.996533328005114,19.66015625,13.04296875,75,391.0
discern-ansible,1205.34375,1205.34375,10.578125,9,47.0
discern-file-so,1486.2369944852942,1591.6796875,317.4375,198,1020.0
discern-logs-so,1205.4296875,1205.4296875,28.40234375,186,961.0
discern-network,1865.3144569396973,1897.58203125,120.96875,198,1024.0
discern-proc-so,1205.92578125,1205.92578125,16.59375,116,604.0
dpkg,21.258056640625,21.44921875,17.6875,3,16.0
pip3,120.196044921875,295.4609375,287.05078125,6,32.0
python3,577.9833367940199,857.8203125,456.35546875,58,301.0
python3.9,24.375,25.98828125,19.21484375,1,6.0
systemd-journal,65.66460005733946,121.1640625,24.25,127,654.0
systemd-resolve,23.53515625,23.59765625,11.64453125,7,36.0
