Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
server.py,756.0,60.0886023398281,65.50941143617841,145
discern-file-so,935.0,40.041329586182016,89.12743417591562,182
discern-proc-so,938.0,2.262398782475209,9.430620588247384,181
kswapd0,941.0,0.6869984405062787,0.6975336384090526,181
discern-network,664.0,0.37815325270069605,0.39006315857512797,128
discern-logs-so,441.0,0.3813522647915249,0.39436639419555325,86
python3,17.0,0.9966522539588469,1.3822480623729596,3
systemd,5.0,0.7109980898435524,0.7109980898435524,1
sshd,6.0,0.541860724150908,0.541860724150908,1
jbd2/vda2-8,5.0,0.3438684173178648,0.3438684173178648,1
