timestamp,pid,ppid,real_uid,effective_uid,saved_uid,filesystem_uid,real_gid,effective_gid,saved_gid,filesystem_gid,vm_peak,vm_size,vm_hwm,rss_shmem,vm_stk,vm_data,threads,name,state,device_id,cpu
1759275569,181,1,0,0,0,0,0,0,0,0,154447872,99905536,37404672,4096,135168,28073984,1,systemd-journal,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,0.21579339355970684
1759275569,380,1,103,103,103,103,109,109,109,109,38969344,38969344,33394688,N/A,135168,31240192,1,dbus-daemon,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,0.21158162728988622
1759275569,114627,1,0,0,0,0,0,0,0,0,1921449984,1921449984,30482432,N/A,135168,152514560,13,discern-network,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,1.610442281682194
1759275569,114656,1,0,0,0,0,0,0,0,0,1505095680,1505095680,24395776,N/A,135168,73678848,4,discern-interfa,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,0.0
1759275569,114657,1,0,0,0,0,0,0,0,0,1264357376,1264357376,16842752,N/A,135168,45563904,4,discern-proc-so,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,4.830537665965691
1759275579,181,1,0,0,0,0,0,0,0,0,154447872,99905536,37580800,4096,135168,28073984,1,systemd-journal,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,0.2159070511755809
1759275579,380,1,103,103,103,103,109,109,109,109,38969344,38969344,33394688,N/A,135168,31240192,1,dbus-daemon,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,0.21170163769165826
1759275579,114799,1,0,0,0,0,0,0,0,0,1810128896,1810128896,27000832,N/A,135168,109105152,8,discern-network,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,1.299922633414573
1759275579,114821,1,0,0,0,0,0,0,0,0,1505095680,1505095680,22282240,N/A,135168,73678848,4,discern-interfa,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,0.0
1759275579,114827,1,0,0,0,0,0,0,0,0,1264619520,1264619520,16130048,N/A,135168,45826048,4,discern-proc-so,S (sleeping),cache.bnsdq.ozxfs.vcwss.kvugl,5.848935468886686
