Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,1112.0,66.83402824303808,141.04555559148287,214
python3,419.0,149.71808085341374,177.4519881045264,81
discern-proc-so,1109.0,6.144769479697512,20.3946965685429,213
dockerd,758.0,4.3604565320798105,6.7517532994783185,145
exe,50.0,55.526339487968144,88.38844558442591,9
pip,26.0,78.2385804544037,87.81867442613442,5
discern-network,891.0,1.8755597276044933,3.0525276031937914,171
jbd2/vda2-8,638.0,1.984595946613427,2.4908286740363286,123
dpkg,36.0,21.647733945726095,30.404219219600908,7
cc1,10.0,52.6880830862584,85.44201164903,2
pip3,10.0,44.488125474243176,57.690228353344175,2
apt-get,36.0,12.335670939060082,30.908272969414103,7
systemd,329.0,0.9906013044316795,1.7450593269564445,64
dpkg-deb,10.0,24.339976576150377,40.62034594694287,2
kworker/1,32.0,5.976180091412838,16.316669860360186,6
store,5.0,33.52676230352007,33.52676230352007,1
mandb,10.0,8.74218375635302,9.512554450575117,2
python,5.0,17.335804147712494,17.335804147712494,1
apt,15.0,4.697562573752952,7.671886255397892,3
containerd,37.0,1.8543235737113863,6.380328755669345,7
http,5.0,3.6240775587823615,3.624077558782361,1
kworker/2,5.0,3.071778857086302,3.071778857086302,1
docker,6.0,1.7850654585913508,1.7850654585913508,1
