timestamp,device,length,link_protocol,network_protocol,transport_protocol,src_ip,dst_ip,src_port,dst_port
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.66.248,5.6.7.72,40917,6905
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.66.248,6905,40917
1759307000,any,56,N/A,IPv4,TCP,1.2.66.248,5.6.7.72,40917,6905
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.15.94,39634,27993
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.15.94,5.6.7.72,27993,39634
1759307000,any,56,N/A,IPv4,TCP,1.2.15.94,5.6.7.72,27993,39634
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.221.82,35920,58663
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.221.82,5.6.7.72,58663,35920
1759307000,any,56,N/A,IPv4,TCP,1.2.221.82,5.6.7.72,58663,35920
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.107.180,50754,12400
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.107.180,5.6.7.72,12400,50754
1759307000,any,56,N/A,IPv4,TCP,1.2.107.180,5.6.7.72,12400,50754
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.245.179,46383,13717
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.245.179,5.6.7.72,13717,46383
1759307000,any,56,N/A,IPv4,TCP,1.2.245.179,5.6.7.72,13717,46383
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.27.218,48647,20021
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.27.218,5.6.7.72,20021,48647
1759307000,any,56,N/A,IPv4,TCP,1.2.27.218,5.6.7.72,20021,48647
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.243.27,11525,33699
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.243.27,5.6.7.72,33699,11525
1759307000,any,56,N/A,IPv4,TCP,1.2.243.27,5.6.7.72,33699,11525
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.40.68,64564,1486
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.40.68,5.6.7.72,1486,64564
1759307000,any,56,N/A,IPv4,TCP,1.2.40.68,5.6.7.72,1486,64564
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.15.92,14273,52589
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.15.92,5.6.7.72,52589,14273
1759307000,any,56,N/A,IPv4,TCP,1.2.15.92,5.6.7.72,52589,14273
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.33.188,58903,15640
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.33.188,5.6.7.72,15640,58903
1759307000,any,56,N/A,IPv4,TCP,1.2.33.188,5.6.7.72,15640,58903
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.246.156,32328,31994
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.246.156,5.6.7.72,31994,32328
1759307000,any,56,N/A,IPv4,TCP,1.2.246.156,5.6.7.72,31994,32328
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.191.237,15138,25763
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.191.237,5.6.7.72,25763,15138
1759307000,any,56,N/A,IPv4,TCP,1.2.191.237,5.6.7.72,25763,15138
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.119.231,59654,63950
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.119.231,5.6.7.72,63950,59654
1759307000,any,56,N/A,IPv4,TCP,1.2.119.231,5.6.7.72,63950,59654
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.137.8,5911,36279
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.137.8,5.6.7.72,36279,5911
1759307000,any,56,N/A,IPv4,TCP,1.2.137.8,5.6.7.72,36279,5911
1759307000,eth0,70,Ethernet,IPv6,ICMP,fe80::8f8:b2ff:fec9:65,ff02::204,0,0
1759307000,any,72,N/A,IPv6,ICMP,fe80::8f8:b2ff:fec9:65,ff02::204,0,0
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.157.88,133,8527
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.157.88,5.6.7.72,8527,133
1759307000,any,56,N/A,IPv4,TCP,1.2.157.88,5.6.7.72,8527,133
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.55.210,36299,43547
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.55.210,5.6.7.72,43547,36299
1759307000,any,56,N/A,IPv4,TCP,1.2.55.210,5.6.7.72,43547,36299
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.13.127,25652,69
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.13.127,5.6.7.72,69,25652
1759307000,any,56,N/A,IPv4,TCP,1.2.13.127,5.6.7.72,69,25652
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.172.57,49974,60930
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.172.57,5.6.7.72,60930,49974
1759307000,any,56,N/A,IPv4,TCP,1.2.172.57,5.6.7.72,60930,49974
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.114.51,63912,22397
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.114.51,5.6.7.72,22397,63912
1759307000,any,56,N/A,IPv4,TCP,1.2.114.51,5.6.7.72,22397,63912
1759307000,eth0,54,Ethernet,IPv4,TCP,5.6.7.72,1.2.111.41,17787,30972
1759307000,eth1,54,Ethernet,IPv4,TCP,1.2.111.41,5.6.7.72,30972,17787
1759307000,any,56,N/A,IPv4,TCP,1.2.111.41,5.6.7.72,30972,17787
