Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,68.6875,3,16.0
apt-get,62.314294763513516,155.3671875,68.80078125,7,37.0
cc1,181.1484375,181.1484375,164.86328125,1,8.0
containerd,1408.9136451655984,1449.890625,47.83203125,89,468.0
discern-cpu-sor,1204.984375,1204.984375,13.9453125,19,98.0
discern-file-so,1589.1823541282288,1591.9296875,425.21875,207,1084.0
discern-logs-so,1209.4498197115386,1269.99609375,73.4921875,54,273.0
discern-network,2305.739783084754,2361.90625,182.39453125,203,1056.0
discern-proc-so,1206.42578125,1206.42578125,18.41796875,23,119.0
docker,1273.1515691207628,1318.19140625,56.83203125,111,590.0
dockerd,1503.7649692357513,1567.1875,116.80078125,184,965.0
dpkg,21.51953125,21.66015625,17.97265625,2,10.0
exe,1249.3236736918604,1349.95703125,87.97265625,8,43.0
pip,84.11142113095238,99.390625,95.17578125,4,21.0
pip3,62.28515625,67.55078125,63.0234375,2,14.0
python3,3184.565687424334,3443.9140625,1285.5078125,79,413.0
systemd-journal,57.35546875,57.35546875,18.96484375,39,205.0
