Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,1010.0,36.46201577152302,67.22822274125348,198
python3,289.0,61.70004724490208,88.00729367838974,54
discern-proc-so,1017.0,2.2213012219798904,2.777150462835281,197
pip3,32.0,41.14140714945293,54.05615756660275,6
jbd2/vda2-8,1006.0,1.2116880199390447,2.3071879733121374,195
kswapd0,971.0,0.6118744675018583,0.7218698004489698,187
systemd,701.0,0.5268890652428098,1.7565678985678954,138
apt-get,27.0,4.746054158059728,11.359352764268438,5
dpkg,11.0,8.969851875215438,10.45719538551132,2
dpkg-deb,11.0,7.741907163945072,12.141775759689931,2
http,10.0,3.5431118185745363,4.871981417919176,2
python3.9,6.0,3.5622475589890086,3.562247558989008,1
mandb,5.0,2.5667803974943135,2.5667803974943135,1
discern-network,10.0,0.3963956980937323,0.4044052322430999,2
