Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,56.97265625,56.97265625,49.0234375,1,6.0
apt-get,64.23046875,155.3671875,67.14453125,5,27.0
dbus-daemon,18.018245648734176,19.55859375,13.09375,62,316.0
discern-file-so,1626.2181385530907,1655.74609375,333.66015625,198,1003.0
discern-logs-so,1205.4296875,1205.4296875,26.73046875,193,995.0
discern-network,1863.6482636313056,1889.578125,122.1640625,198,1011.0
discern-proc-so,1205.92578125,1205.92578125,17.125,170,872.0
dpkg,21.23828125,21.44921875,17.625,2,10.0
pip3,112.2001953125,295.4609375,286.24609375,6,32.0
python3,578.2586108576643,838.4453125,430.0,54,274.0
python3.9,24.375,25.98828125,19.1328125,1,6.0
systemd-journal,62.37888331702544,101.234375,28.23046875,100,511.0
