timestamp,device_id,interface_name,action,hardware_addr,ips
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,eth1,Added,e2:04:fb:4b:8d:b2,10.10.10.68; fe80::e004:fbff:fe4b:200
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,nflog,Added,N/A,
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,nfqueue,Added,N/A,
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,dbus-system,Added,N/A,
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,lo,Added,N/A,127.0.0.1; ::105
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,eth0,Added,22:f1:68:82:bd:31,172.30.0.220; fe80::20f1:68ff:fe82:33
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,eth2,Added,86:de:dc:73:a3:c4,10.0.2.116; fe80::84de:dcff:fe73:143
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,any,Added,N/A,
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,bluetooth-monitor,Added,N/A,
1759256263,compromised.bnsdq.ozxfs.bomyo.kvugl,dbus-session,Added,N/A,
